Type,Subject,Description,Priority,EstHours
Phase,Phase 0: Foundation & Setup,Initial repo setup and decisions,High,10
Task,Initialize Git Repository,"Git init, .gitignore, main branch setup",High,1
Task,Setup: Rust Toolchain,"Install rustup, cargo, and Iced dependencies",High,2
Task,Setup: PostgreSQL,Local Docker Compose or Native Postgres setup,High,2
Task,License Creation,Create/Review License (MIT/AGPL?),Low,1
Task,Design Database Schema,"Users, Posts, Platforms, Schedule tables (SQL)",High,4
Task,CI/CD Pipeline Setup,"cargo check, cargo fmt, build verification",Normal,2
Phase,Phase 1: MVP (Desktop),Essential Posting from Desktop App,High,40
Task,UI: App Shell,"Main Window, Navigation Sidebar (Iced)",High,5
Task,Core: Database Layer,sqlx migrations and connection pool,High,4
Task,UI: Post Composer,"Text input, Image picker, Platform toggle",High,10
Task,Backend: Integration - Mastodon,Rust client for Mastodon API,High,6
Task,Backend: Integration - Bluesky,Rust client for Bluesky (AT Proto),High,7
Task,Feature: Drafts,Save drafts to local DB,Normal,3
Phase,Phase 2: Async Scheduling,Automation engine,High,25
Task,Backend: Job Queue,Implement generic job runner (pg-backed),High,10
Task,UI: Calendar View,Custom widget for visual scheduling,Normal,12
Task,Verification: Schedule Tests,Async tests for job execution,High,4
Phase,Phase 3: Expansion,Expanding reach & polish,Normal,20
Task,Backend: Integration - LinkedIn,OAuth2 flow and posting,Normal,8
Task,Backend: Integration - Twitter/X,(If viable) API implementation,Normal,8
Phase,Phase 4: Analytics & Polish,Insights and UX,Low,30
Task,Analytics: Data Model,Aggregating stats in Postgres,Normal,5
Task,UI: Dashboard Widgets,Charts/Graphs in Iced,Normal,10
Task,Feature: Deep Linking,Handle system links,Low,4
Task,Asset: App Icon/Artwork,Branding,Low,2
Phase,Phase 5: Documentation & Release,Handover and Maintenance,Normal,10
Task,Docs: Developer Guide,How to build and run locally,Normal,4
Task,Docs: User Guide,Usage instructions,Low,4
Task,Maintenance: Cargo Audit,Security scan and dependency update,Low,2
